,,r2,rmse,still_missing,t
Backfill,0,0.809194979493533,0.43973457867277277,136318.0,1.502983808517456
Backfill,1,0.9244919832554191,0.2651669220219368,136383.0,1.5089848041534424
Backfill,2,0.827609919160595,0.38513746629280493,136254.0,1.5270061492919922
Backfill,3,0.7579718376854528,0.5112657146810101,136287.0,1.5170013904571533
Backfill,4,0.9178861490118526,0.26672500569414437,136382.0,1.50999116897583
Backfill,5,0.9103699877987651,0.29582522723082577,136345.0,1.5069913864135742
Backfill,6,0.8876838782445803,0.33542291685367986,136238.0,1.5251030921936035
Overall Mean,0,-0.0004820071317599428,1.002517632678198,0.0,1.7677550315856934
Overall Mean,1,-0.0006064436418802277,0.968926517625322,0.0,1.763944387435913
Overall Mean,2,-0.00043970156503458924,0.943945835247487,0.0,1.758751392364502
Overall Mean,3,-0.0007226273999620947,1.037746039307824,0.0,1.7722280025482178
Overall Mean,4,-0.0005818174784726349,0.982652110466186,0.0,1.7653918266296387
Overall Mean,5,-0.0004808490663181786,0.9984519074921836,0.0,1.7647392749786377
Overall Mean,6,-0.0005009709159353726,0.9960100162831366,0.0,1.7740554809570312
Yearly Mean,0,0.019546393050354993,0.9924323282811786,52298.0,1.6072323322296143
Yearly Mean,1,0.02093522853573715,0.9584399465959673,52298.0,1.5904669761657715
Yearly Mean,2,0.02249595027775797,0.9330731618545124,52456.0,1.6083438396453857
Yearly Mean,3,0.01867275644612909,1.0276403599271795,52298.0,1.598578691482544
Yearly Mean,4,0.01669124824892665,0.9741334133991256,52298.0,1.6135950088500977
Yearly Mean,5,0.01835654397341968,0.9890076455837662,52298.0,1.5965821743011475
Yearly Mean,6,0.01670509420359345,0.9874084586150637,52298.0,1.60158109664917
Yearly Mean per Region,0,0.16744820175441955,0.9179481059670092,58608.0,1.6937739849090576
Yearly Mean per Region,1,0.21603751275588234,0.8591297659297801,58578.0,1.7162041664123535
Yearly Mean per Region,2,0.19876955322608125,0.8485963165025207,58645.0,1.7192108631134033
Yearly Mean per Region,3,0.16431919829090147,0.9534225499044425,58586.0,1.7128820419311523
Yearly Mean per Region,4,0.22429407851327376,0.8702117442247043,58734.0,1.6880254745483398
Yearly Mean per Region,5,0.18901600675934327,0.9034849042630186,58522.0,1.7001762390136719
Yearly Mean per Region,6,0.20615783694269108,0.892200810847706,58509.0,1.7112016677856445
Interpolate 3,0,0.8893434784195551,0.3333993026335761,135103.0,3.7473232746124268
Interpolate 3,1,0.9417901012701265,0.23352729853236084,135136.0,3.7239654064178467
Interpolate 3,2,0.9254416429465441,0.25566676544974243,134986.0,3.7503244876861572
Interpolate 3,3,0.818687037525617,0.44185692760624806,134992.0,3.741218328475952
Interpolate 3,4,0.9250302885335867,0.2675483704233243,135111.0,3.764655113220215
Interpolate 3,5,0.947671785394975,0.2289123876066904,135029.0,3.753887891769409
Interpolate 3,6,0.9124436092934882,0.294024906570806,135078.0,3.7311959266662598
Interpolate all,0,0.8892153908263193,0.3336089666982562,113296.0,2.8959412574768066
Interpolate all,1,0.9414521433449327,0.23433246681977177,113208.0,2.884164810180664
Interpolate all,2,0.925408194458662,0.2559742349728458,113112.0,2.914376735687256
Interpolate all,3,0.8190580030153843,0.4415383132904655,113206.0,2.912360191345215
Interpolate all,4,0.923750760324014,0.27001603910535843,113278.0,2.8973777294158936
Interpolate all,5,0.9476830992871411,0.22900909803163996,113125.0,2.9019765853881836
Interpolate all,6,0.9126383983711865,0.2936059944595429,113305.0,2.8849613666534424
ICE 1,0,0.8841991821202403,0.34106974144172164,0.0,10.014080286026001
ICE 1,1,0.9365164565190347,0.24405616022631635,0.0,10.039754867553711
ICE 1,2,0.9288343971190245,0.25175997228481684,0.0,10.335712432861328
ICE 1,3,0.7994689476365116,0.4645420596123095,0.0,10.063299655914307
ICE 1,4,0.8714964515726172,0.3521527206628754,0.0,10.074066400527954
ICE 1,5,0.9360519869228652,0.2524272805720561,0.0,10.077638387680054
ICE 1,6,0.898769732698512,0.31681821333895077,0.0,10.049983978271484
ICE 2,0,0.6350874746009776,0.6054548519436798,0.0,72.3818621635437
ICE 2,1,0.6782139724791607,0.5494684813032403,0.0,72.58747172355652
ICE 2,2,0.6885229580903477,0.5267015985522896,0.0,73.03538990020752
ICE 2,3,0.5300863852666038,0.7111205655944423,0.0,73.07492995262146
ICE 2,4,0.567475149595682,0.6460691743516425,0.0,72.90081143379211
ICE 2,5,0.6585366846688894,0.583303775410433,0.0,72.8899142742157
ICE 2,6,0.6876478255924068,0.5565154368458126,0.0,72.71761870384216
ICE 3,0,0.7753917002144327,0.4750072943133909,0.0,51.90863347053528
ICE 3,1,0.7826046105292561,0.45163163910600157,0.0,80.57619500160217
ICE 3,2,0.8064414405986626,0.4152004411103379,0.0,50.49677228927612
ICE 3,3,0.7033411296716043,0.565018794144064,0.0,84.37353515625
ICE 3,4,0.73693686584997,0.503852575585639,0.0,78.5155758857727
ICE 3,5,0.7573021316771964,0.4917628782116529,0.0,80.84219121932983
ICE 3,6,0.817352364288886,0.42556115223189295,0.0,50.35482859611511
MICE 1,0,0.8862037439527162,0.33810482265793307,0.0,133.35432481765747
MICE 1,1,0.933028464688287,0.2506711317405469,0.0,133.27716994285583
MICE 1,2,0.9261820922379896,0.25640853748525255,0.0,133.18873929977417
MICE 1,3,0.7977691501010609,0.4665067458240473,0.0,133.65806102752686
MICE 1,4,0.8778527785603554,0.343332791054604,0.0,133.51887798309326
MICE 1,5,0.9332353195825107,0.25792660892551394,0.0,133.37905144691467
MICE 1,6,0.905180269555071,0.30662270233514805,0.0,133.36129021644592
MICE 2,0,0.7686038420335956,0.48213143728306745,0.0,424.97315740585327
MICE 2,1,0.7884627015037795,0.44550509079223544,0.0,426.8014633655548
MICE 2,2,0.8028323824053191,0.41905343996928945,0.0,425.822881937027
MICE 2,3,0.681921167521371,0.5850616194462828,0.0,427.3076026439667
MICE 2,4,0.7233831134717812,0.5166695086272284,0.0,427.9768590927124
MICE 2,5,0.7567191162798733,0.4923531869677249,0.0,427.8373155593872
MICE 2,6,0.8131641829830301,0.43041263958567205,0.0,442.45860838890076
KNN 1,0,0.8054084694825887,0.4421293498044668,0.0,125.56520485877991
KNN 1,1,0.8749969868111179,0.3424675564996286,0.0,125.91815042495728
KNN 1,2,0.8760616584742424,0.3322419414156656,0.0,126.16048693656921
KNN 1,3,0.7163413114078684,0.5524999842849702,0.0,123.41686177253723
KNN 1,4,0.7936132681441521,0.44628714239424383,0.0,122.27187657356262
KNN 1,5,0.8375821700305145,0.40229034806305797,0.0,122.41050219535828
KNN 1,6,0.8452049585743093,0.3917720697930427,0.0,122.20855903625488
KNN 2,0,0.8952977254664313,0.3243138058724758,0.0,16.69528889656067
KNN 2,1,0.91655452770576,0.2798082934612667,0.0,16.749329566955566
KNN 2,2,0.9189806992108186,0.2686246490377457,0.0,16.678157567977905
KNN 2,3,0.766072152417177,0.5017359120620712,0.0,16.74781584739685
KNN 2,4,0.8739806763705424,0.34873220843823477,0.0,16.734644889831543
KNN 2,5,0.9230010379029264,0.2769907056333524,0.0,16.725467920303345
KNN 2,6,0.8877166063300895,0.33366658298918517,0.0,16.730761289596558
