,,r2,rmse,still_missing,t
ICE 3,5,0.5425042607888175,0.7492898900575325,0.0,78.64561200141907
ICE 3,6,0.7941740228874874,0.4043293844445077,0.0,78.26323914527893
MICE 1,0,0.8324108985139181,0.3784914107518666,0.0,134.18787097930908
MICE 1,1,0.9434908928371399,0.24408138812261784,0.0,134.0164065361023
MICE 1,2,0.8654352379387708,0.34702045786203856,0.0,134.0241219997406
MICE 1,3,0.9186882291447319,0.29006304711223296,0.0,134.16614747047424
MICE 1,4,0.9215448325321892,0.2850956507443101,0.0,133.91614627838135
MICE 1,5,0.6414143274967086,0.6633653951131417,0.0,134.15898394584656
MICE 1,6,0.913240739961838,0.26250835553029217,0.0,133.66918206214905
MICE 2,0,0.8246009847441559,0.38721013612967525,0.0,440.2400300502777
MICE 2,1,0.8105937413640308,0.4468611558198985,0.0,433.5773124694824
MICE 2,2,0.761712255986094,0.46178546316355945,0.0,427.4518311023712
MICE 2,3,0.8106057857924852,0.44268932444812165,0.0,429.64431500434875
MICE 2,4,0.7715428592176374,0.48649925965316293,0.0,428.8400328159332
MICE 2,5,0.543233917378271,0.7486921331557,0.0,428.4506359100342
MICE 2,6,0.8002135633303131,0.3983531101036175,0.0,428.53167510032654
KNN 1,0,0.8170851344398016,0.3954190998865857,0.0,114.97662019729614
KNN 1,1,0.7460921863509631,0.517384572518487,0.0,115.15427160263062
KNN 1,2,0.8769296084349427,0.331868624830183,0.0,115.58204102516174
KNN 1,3,0.8475984908159004,0.3971095477974843,0.0,115.34128904342651
KNN 1,4,0.7869729685752348,0.4697828657532861,0.0,115.71583151817322
KNN 1,5,0.5894701539805904,0.7097881004378893,0.0,114.3845157623291
KNN 1,6,0.8905011988966303,0.29491026798835424,0.0,114.59499740600586
KNN 2,0,0.8388758116864772,0.3711192769208419,0.0,15.158753395080566
KNN 2,1,0.9267700388954734,0.27785604103912426,0.0,15.107228994369507
KNN 2,2,0.8625135522948776,0.3507675021314004,0.0,15.102922201156616
KNN 2,3,0.9235950333672053,0.2811748618158342,0.0,15.14179539680481
KNN 2,4,0.9065807562316439,0.3110985513515911,0.0,15.158745050430298
KNN 2,5,0.6287160908577061,0.675008761560607,0.0,15.130366563796997
KNN 2,6,0.9228627631908799,0.24752396346660546,0.0,15.086825132369995
