,,r2,rmse,still_missing,t
Backfill,0,0.8050321942695272,0.41014396064947206,135530.0,0.6116011142730713
Backfill,1,0.928916836453693,0.2580152797743437,135514.0,0.6086006164550781
Backfill,2,0.8580742751346473,0.352383792177162,135555.0,0.6156082153320312
Backfill,3,0.8751756323359304,0.36329463825630665,135512.0,0.6126134395599365
Backfill,4,0.8240985613045108,0.42971101916958276,135536.0,0.610114574432373
Backfill,5,0.8883275971831258,0.3029909242955271,135532.0,0.6066005229949951
Backfill,6,0.8739886195692419,0.31142606682249746,135570.0,0.6065976619720459
Overall Mean,0,-0.001385474411366605,0.9251960837803808,0.0,0.8593628406524658
Overall Mean,1,-0.00048291572768754953,1.027023261561716,0.0,0.8628604412078857
Overall Mean,2,-0.0006452894962547528,0.9463013991230679,0.0,0.8653960227966309
Overall Mean,3,-0.0007007463939812109,1.0175782297640967,0.0,0.8693723678588867
Overall Mean,4,-0.00048022539825809396,1.018085072482814,0.0,0.8699164390563965
Overall Mean,5,-0.0036144954877985747,1.1097874483155779,0.0,0.8638777732849121
Overall Mean,6,-0.001498007416106395,0.8918878681498685,0.0,0.8543517589569092
Yearly Mean,0,0.017514348325472606,0.9164235696988443,52298.0,0.7111046314239502
Yearly Mean,1,0.016553412343628726,1.01824158729801,52298.0,0.7038660049438477
Yearly Mean,2,0.027406056667213408,0.9329431599460477,52298.0,0.706204891204834
Yearly Mean,3,0.017498783890976255,1.008282532385796,52298.0,0.6951992511749268
Yearly Mean,4,0.009279828698734893,1.0131070040631363,52298.0,0.6901965141296387
Yearly Mean,5,0.009177997389633874,1.1026918559325973,52298.0,0.6971890926361084
Yearly Mean,6,0.022902901459029512,0.8809557074117801,52298.0,0.6931936740875244
Yearly Mean per Region,0,0.22443279256584003,0.8178861715482346,58235.0,0.8216795921325684
Yearly Mean per Region,1,0.19348535086107133,0.9274190699612196,58299.0,0.8054277896881104
Yearly Mean per Region,2,0.18143896821783034,0.8593130306728244,58232.0,0.8028042316436768
Yearly Mean per Region,3,0.19041216680097484,0.9210105675572089,58246.0,0.8141264915466309
Yearly Mean per Region,4,0.19173740540859407,0.9195217752581197,58244.0,0.8226041793823242
Yearly Mean per Region,5,0.14056626897916003,1.032051741634392,58222.0,0.8270936012268066
Yearly Mean per Region,6,0.23106990635377644,0.7857165676511609,58261.0,0.8030226230621338
Interpolate 3,0,0.8070310148965548,0.40739955275815487,134372.0,2.69230055809021
Interpolate 3,1,0.9487035274724457,0.23373046514188411,134346.0,2.670001983642578
Interpolate 3,2,0.8723225746993879,0.3401466968127914,134349.0,2.647641897201538
Interpolate 3,3,0.9217963557361348,0.28336206101764977,134357.0,2.6586506366729736
Interpolate 3,4,0.93770952138902,0.2542174743348536,134350.0,2.6482045650482178
Interpolate 3,5,0.6243400201662803,0.6781000089652469,134355.0,2.658139705657959
Interpolate 3,6,0.9287781769887942,0.23684882285109438,134353.0,2.6631979942321777
Interpolate all,0,0.8079467465640428,0.40667007157378604,112682.0,1.8929195404052734
Interpolate all,1,0.9476105684751901,0.2359896879610297,112672.0,1.8902361392974854
Interpolate all,2,0.8725808505156292,0.33946974711093303,112692.0,1.892967700958252
Interpolate all,3,0.9222983483992852,0.28311530450962225,112717.0,1.8873934745788574
Interpolate all,4,0.9371074328577851,0.2551109360535566,112660.0,1.8943963050842285
Interpolate all,5,0.6248479486466169,0.6767957690405678,112681.0,1.8790032863616943
Interpolate all,6,0.9288217452590117,0.2369834657206049,112651.0,1.8917298316955566
ICE 1,0,0.8306805395795852,0.3804403565086883,0.0,9.842058420181274
ICE 1,1,0.9480516665470311,0.2340244598605166,0.0,9.761367559432983
ICE 1,2,0.864253500458535,0.34854088070012457,0.0,9.720186948776245
ICE 1,3,0.9139198947323415,0.29844691216587954,0.0,9.761565446853638
ICE 1,4,0.9145745974059167,0.2974906579762266,0.0,9.71900486946106
ICE 1,5,0.6440210830603423,0.6609498139495963,0.0,9.758846282958984
ICE 1,6,0.8818044743155949,0.3063978616265709,0.0,9.741981029510498
ICE 2,0,0.6770440482839689,0.5254178080884989,0.0,74.86457419395447
ICE 2,1,0.6286696094115489,0.6256849214986332,0.0,75.3252854347229
ICE 2,2,0.619171336544486,0.5837867299741385,0.0,75.35352182388306
ICE 2,3,0.537154971677358,0.6920436638471624,0.0,75.28804039955139
ICE 2,4,0.5934601732491197,0.6489800760721767,0.0,75.44655179977417
ICE 2,5,0.42084995171847484,0.8430472079704809,0.0,74.34445333480835
ICE 2,6,0.5896737739956688,0.5708866004795731,0.0,73.70839166641235
ICE 3,0,0.8160170135415223,0.39657193297239424,0.0,78.37294602394104
ICE 3,1,0.8045518652073963,0.4539324258106986,0.0,78.62700128555298
ICE 3,2,0.7483105609712377,0.4745936257821923,0.0,78.1461272239685
ICE 3,3,0.8067005552611506,0.44723007237702866,0.0,78.16865015029907
ICE 3,4,0.7654631800739462,0.49293009181912356,0.0,78.67007255554199
